Race Title,Geelong
Race,Race 1 Geelong
Number,Name,WinPrice,FixedPrice
7(10),Bold Sam,12.00,2.38
8(1),By The Law,34.00,4.50
10(11),Rotindy,26.00,4.00
11(9),Maginot Line,26.00,4.00
12(13),Dreamer's Goal,26.00,4.00
13(5),Mister Judge,41.00,5.50
Race Title,Bathurst
Race,Race 1 Bathurst
Number,Name,WinPrice,FixedPrice
1(2),Electrified,11.00,3.10
2(4),Funky Music,2.30,1.30
3(3),King's Knight,10.00,2.88
4(5),Provocative Man,3.20,1.50
5(6),Fast Talking,41.00,8.00
6(7),Vuni,7.50,2.20
7(1),All The Wine,8.00,2.25
8(8),Maudy,19.00,4.00
9(9),Swoop,41.00,8.00
Race,Race 2 Bathurst
Number,Name,WinPrice,FixedPrice
1(3),Snitzagirl,6.50,2.00
2(4),Feather,2.70,1.33
4(9),Miss Bowjangles,41.00,7.00
5(10),Hoity Toity,61.00,10.00
6(8),Super Cyclone,3.80,1.57
7(1),Florida Girl,3.80,1.57
8(7),Russian Ahead,7.50,2.20
9(2),Schill Rock You,21.00,4.00
10(5),Euroflyer,81.00,13.00
Race,Race 3 Bathurst
Number,Name,WinPrice,FixedPrice
1(8),Panda's Mr Nosey,17.00,4.00
2(1),My Burning Heart,31.00,6.50
3(2),Son Of A Fox,8.50,2.88
4(10),Partners,2.80,1.53
5(6),Vandross,7.00,2.38
6(3),Showminder,5.50,2.10
7(9),Disperse,13.00,3.40
8(4),Winterconi,4.80,1.91
9(7),We Love Rugby,13.00,3.40
10(5),Music Miss,23.00,5.00
Race,Race 4 Bathurst
Number,Name,WinPrice,FixedPrice
1(6),Aguias,10.00,2.38
2(10),Artillery,81.00,12.00
3(2),Kind Reward,31.00,5.00
4(7),One Eye Watching,51.00,8.00
5(1),Gaze Beyond,41.00,7.00
6(4),Maria Victoria,1.60,1.15
7(8),Miss Breffni,21.00,4.00
9(13),Snappy Diamond,26.00,4.50
10(11),Soldier Of Love,4.00,1.53
11(3),Spatula,13.00,3.10
12(12),Peduzzi,31.00,5.00
13(5),Thistles,51.00,8.00
Race,Race 5 Bathurst
Number,Name,WinPrice,FixedPrice
2(11),Perpetual Motion,31.00,6.00
3(4),Art Of Defence,3.80,1.67
4(8),Star Zone,21.00,4.33
5(2),Jagger,8.50,2.62
6(3),Keeper Girl,2.60,1.40
7(5),Red Brocade,5.00,1.83
8(10),Wacky Doo,8.50,2.62
9(9),Sega Dancer,31.00,6.00
10(1),Royal Abbey,13.00,3.40
11(6),Gottakeepthefaith,41.00,8.50
Race,Race 6 Bathurst
Number,Name,WinPrice,FixedPrice
1(4),Deal Master,2.70,1.40
3(5),Panuara,5.00,1.83
4(7),Taking Liberties,4.00,1.67
5(10),Privily,6.00,2.00
6(6),Bounty Belle,101.00,19.00
7(8),Demonize,19.00,4.00
8(1),Katy's Revenge,101.00,19.00
9(11),Tilly's Waltz,8.00,2.38
10(2),Griffin's Gaze,15.00,3.50
11(9),Milk 'N' Brandy,81.00,15.00
12(3),Sovereign Default,41.00,8.00
Race,Race 7 Bathurst
Number,Name,WinPrice,FixedPrice
